"code","name","OLCU_BR1","price","price2","NAKLIYET_TUT","KDV_ORANI","BARKOD1","BARKOD2","BARKOD3","ALIS_KDV_KODU","ALIS_FIAT1","ALIS_FIAT2","ALIS_FIAT3","ALIS_FIAT4"
"1788","SPEEDOL HİDROLİK YAĞ VG 46 15 KG","AD","2100.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1792","SPEEDOL CSG SARI GRES 4 KG","AD","756.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1793","SPEEDOL CSG KIRMIZI GRES 4 KG","AD","648.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1797","SPEEDOL SPD HİDROLİK YAĞ VG 68 15 KG","AD","2100.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180*2EGE","180*2 EGESAN KESME TAŞI","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180*60","180*60 KUM FLAP ZIMPARA","AD","87.82000000","NULL","0.00000000","20.00","NULL","NULL","NULL","20.00","NULL","NULL","NULL","NULL"
"""180X1,6""","""180*1,6 İNOX KESME TAŞI""","AD","33.62000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180X3EGE","180*3 EGESAN KESME TAŞI","AD","33.29900000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180X40","180*40 FİBER DİSK ZIMPARA","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180X6 EGESAN","180*6 EGESAN TAŞLAMA TAŞI","AD","65.77000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180X80","180*80 FİBER DİSK ZIMPARA","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"180X8EGE","180*8 EGESAN TAŞLAMA TAŞI","AD","72.37000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"18340MAX","18*340 SDS MAX MATKAP UCU","AD","6.90000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"18400SDSGKESKİ","18*400 SDS GENİŞ MAX KESKİ","AD","4.50000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"18540MAX","18*540 SDS MAX MATKAP UCU","AD","9.80000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"18646101421","VARTA WORK FLEX TELESCOBE LIGHT","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"18684101401","FENER WORK FLEX BL30R ŞARZLI","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1PUL","1'' KALIN PUL","AD","8.45000000","9.32410000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"1TONGÇ","1 TON HALATLI GERDİRME","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"2 TONGÇ","2 TON HALATLI GERDİRME","AD","643.50000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"""2,5X40X40""","""2,5X40X40 TELE DİZİLİ ÇİVİ""","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"""2,5X50X50""","""2,5X50X50 TELE DİZİLİ ÇİVİ""","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"""2,5X60X60""","""2,5X60X60 TELE DİZİLİ ÇİVİ""","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"""2,9X13YSB""","""2,9X13 YSB SAÇ VİDASI""","AD","0.24020000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"""2,9X9,5YSB""","""2,9X9,5 YSB SAÇ VİDASI""","AD","0.22390000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
"""20,540MAX""","20*540 SDS MAX MATKAP UCU","AD","0.00000000","0.00000000","0.00000000","20.00","NULL","NULL","NULL","20.00","0.00000000","0.00000000","0.00000000","0.00000000"
